arrival_time;stop_id;stop_sequence
23:05;87381509;0
23:35;87415604;1
23:55;87415620;2
24:25;87415877;3
24:45;87411207;4
25:10;87411017;5
09:12;87384008;0
10:30;87411017;1
10:43;87411801;2
10:49;87411819;3
10:59;87415158;4
11:15;87415018;5
08:52;87384008;0
10:32;87411017;1
10:45;87411801;2
10:51;87411819;3
11:01;87415158;4
11:18;87415018;5
09:10;87384008;0
10:30;87411017;1
10:43;87411801;2
10:49;87411819;3
10:59;87415158;4
11:15;87415018;5
14:22;87384008;0
16:02;87411017;1
16:25;87413385;2
16:39;87413344;3
16:54;87413013;4
13:40;87384008;0
15:02;87411017;1
15:25;87413385;2
15:39;87413344;3
15:54;87413013;4
14:03;87384008;0
15:18;87415604;1
15:28;87415620;2
15:43;87415877;3
15:52;87411207;4
16:02;87411017;5
16:25;87413385;6
16:39;87413344;7
16:54;87413013;8
14:40;87384008;0
16:02;87411017;1
16:25;87413385;2
16:39;87413344;3
16:54;87413013;4
16:40;87384008;0
18:02;87411017;1
18:25;87413385;2
18:39;87413344;3
18:54;87413013;4
13:40;87384008;0
15:02;87411017;1
15:25;87413385;2
15:39;87413344;3
15:54;87413013;4
13:40;87384008;0
15:02;87411017;1
15:25;87413385;2
15:39;87413344;3
15:54;87413013;4
12:38;87384008;0
14:02;87411017;1
14:25;87413385;2
14:39;87413344;3
14:54;87413013;4
12:40;87384008;0
14:02;87411017;1
14:25;87413385;2
14:39;87413344;3
14:54;87413013;4
15:40;87384008;0
17:02;87411017;1
17:48;87413013;2
15:39;87384008;0
17:02;87411017;1
17:48;87413013;2
16:37;87384008;0
18:03;87415604;1
18:12;87415620;2
18:27;87415877;3
18:36;87411207;4
18:46;87411017;5
19:11;87413385;6
19:25;87413344;7
19:40;87413013;8
13:40;87384008;0
15:02;87411017;1
15:25;87413385;2
15:39;87413344;3
15:53;87413013;4
13:40;87384008;0
15:02;87411017;1
15:25;87413385;2
15:39;87413344;3
15:54;87413013;4
13:40;87384008;0
15:02;87411017;1
15:48;87413013;2
16:40;87384008;0
18:02;87411017;1
18:25;87413385;2
18:39;87413344;3
18:54;87413013;4
08:18;87384008;0
10:00;87411017;1
10:23;87413385;2
10:37;87413344;3
10:52;87413013;4
19:40;87384008;0
21:02;87411017;1
21:48;87413013;2
08:23;87384008;0
10:02;87411017;1
10:25;87413385;2
10:39;87413344;3
10:55;87413013;4
07:09;87384008;0
09:02;87411017;1
09:25;87413385;2
09:39;87413344;3
09:54;87413013;4
07:40;87384008;0
09:02;87411017;1
09:25;87413385;2
09:39;87413344;3
09:54;87413013;4
09:06;87384008;0
10:58;87411017;1
11:44;87413013;2
10:40;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
12:54;87413013;4
10:08;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
12:54;87413013;4
18:40;87384008;0
20:02;87411017;1
20:25;87413385;2
20:39;87413344;3
20:54;87413013;4
10:09;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
12:54;87413013;4
09:40;87384008;0
11:02;87411017;1
11:48;87413013;2
18:22;87384008;0
20:02;87411017;1
20:25;87413385;2
20:39;87413344;3
20:54;87413013;4
18:40;87384008;0
20:02;87411017;1
20:25;87413385;2
20:39;87413344;3
20:54;87413013;4
06:40;87384008;0
08:02;87411017;1
08:25;87413385;2
08:39;87413344;3
08:54;87413013;4
21:15;87384008;0
23:02;87411017;1
23:48;87413013;2
06:38;87384008;0
08:02;87411017;1
08:25;87413385;2
08:39;87413344;3
08:54;87413013;4
12:22;87384008;0
13:21;87415604;1
13:31;87415620;2
13:48;87415877;3
13:57;87411207;4
14:07;87411017;5
14:29;87413385;6
14:43;87413344;7
14:59;87413013;8
12:07;87384008;0
14:02;87411017;1
14:25;87413385;2
14:39;87413344;3
14:54;87413013;4
06:40;87384008;0
08:02;87411017;1
08:25;87413385;2
08:39;87413344;3
08:54;87413013;4
17:40;87384008;0
19:02;87411017;1
19:48;87413013;2
17:22;87384008;0
19:02;87411017;1
19:48;87413013;2
06:38;87384008;0
08:02;87411017;1
08:25;87413385;2
08:39;87413344;3
08:54;87413013;4
21:40;87384008;0
23:02;87411017;1
23:48;87413013;2
20:22;87384008;0
22:02;87411017;1
22:25;87413385;2
22:39;87413344;3
22:54;87413013;4
12:40;87384008;0
14:02;87411017;1
14:25;87413385;2
14:39;87413344;3
14:54;87413013;4
10:40;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
12:54;87413013;4
10:40;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
12:54;87413013;4
20:40;87384008;0
22:02;87411017;1
22:25;87413385;2
22:39;87413344;3
22:54;87413013;4
10:40;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
12:54;87413013;4
08:40;87384008;0
10:02;87411017;1
10:25;87413385;2
10:39;87413344;3
10:55;87413013;4
10:40;87384008;0
12:02;87411017;1
12:25;87413385;2
12:39;87413344;3
