from,to,duration
87009696,87571406,9
87009696,87571885,4
87109306,87286005,9
87109306,87286112,2
87109306,87286419,7
87109306,87286435,10
87109306,87287250,3
87109306,87342436,16
87113001,87116137,47
87113001,87116517,36
87113001,87116582,46
87113001,87118190,55
87113001,87174003,77
87116137,87113001,49
87116137,87118190,13
87116517,87113001,38
87116517,87116582,17
87116582,87113001,46
87116582,87116517,17
87116582,87171512,12
87118000,87118158,18
87118000,87118257,16
87118000,87713040,145
87118158,87118000,18
87118158,87118190,10
87118190,87113001,55
87118190,87116137,13
87118190,87118158,11
87118257,87118000,15
87118257,87118299,12
87118299,87118000,25
87118299,87118257,11
87118299,87142000,19
87131961,87743351,4
87131961,87743526,10
87131961,87743534,20
87141002,87141010,4
87141002,87141044,18
87141002,87141069,10
87141002,87141077,5
87141002,87141085,4
87141002,87141101,7
87141002,87141119,9
87141002,87141135,14
87141002,87141150,16
87141002,87141200,17
87141002,87141416,48
87141002,87141523,25
87141002,87141820,16
87141002,87144006,70
87141002,87144055,45
87141002,87144287,75
87141002,87175257,50
87141002,87175778,108
87141002,87215012,84
87141010,87141002,5
87141010,87141093,3
87141010,87141473,4
87141036,87141044,5
87141036,87175828,4
87141044,87141002,19
87141044,87141036,5
87141044,87141051,6
87141044,87141069,10
87141044,87141291,23
87141044,87175257,14
87141051,87141044,6
87141051,87141069,6
87141069,87141002,11
87141069,87141044,10
87141069,87141051,6
87141069,87141077,5
87141069,87141085,9
87141077,87141002,7
87141077,87141069,5
87141077,87141085,3
87141077,87141788,3
87141085,87141002,5
87141085,87141069,7
87141085,87141077,3
87141093,87141010,3
87141093,87141101,6
87141101,87141002,9
87141101,87141093,4
87141101,87141119,3
87141101,87141135,7
87141119,87141002,11
87141119,87141101,3
87141119,87141127,3
87141119,87141150,10
87141127,87141119,2
87141127,87141135,5
87141135,87141002,14
87141135,87141101,7
87141135,87141119,6
87141135,87141127,4
87141135,87141143,5
87141135,87141150,7
87141135,87141200,6
87141135,87141218,10
87141143,87141135,4
87141143,87141150,5
87141150,87141002,19
87141150,87141119,10
87141150,87141135,5
87141150,87141143,3
87141150,87141374,8
87141150,87141408,13
87141150,87141416,16
87141150,87215012,21
87141150,87215103,12
87141200,87141002,20
87141200,87141135,6
87141200,87141218,6
87141218,87141135,10
87141218,87141200,6
87141218,87144055,7
87141291,87141002,70
87141291,87141044,24
87141291,87142125,45
87141291,87144212,41
87141291,87144287,30
87141291,87713040,120
87141374,87141150,8
87141374,87141382,3
87141374,87141408,6
87141374,87141416,10
87141382,87141374,3
87141382,87141390,3
87141382,87141408,8
87141390,87141374,6
87141390,87141382,3
87141390,87141408,4
87141408,87141150,14
87141408,87141374,5
87141408,87141382,5
87141408,87141390,4
87141408,87141416,5
87141416,87141150,17
87141416,87141374,9
87141416,87141408,5
87141416,87141424,5
87141416,87144014,27
87141416,87144626,7
87141424,87141416,4
87141424,87141432,4
87141424,87144626,4
87141432,87141416,7
87141432,87141424,4
87141432,87144626,3
87141473,87141010,5
87141473,87141481,4
87141481,87141473,4
87141481,87141499,4
87141499,87141481,4
87141499,87141507,3
87141507,87141499,3
87141507,87141523,3
87141523,87141507,2
87141788,87141077,2
87141788,87141796,3
87141788,87141804,5
87141788,87141812,7
87141796,87141788,3
87141796,87141804,3
87141796,87141812,5
87141804,87141788,4
87141804,87141796,3
87141804,87141812,3
87141812,87141796,5
87141812,87141804,3
87141812,87141820,5
87141820,87141002,17
87141820,87141812,5
87141820,87192039,54
87141820,87192435,12
87141820,87192468,6
87141820,87192476,5
87142000,87118299,18
87142000,87142091,19
87142000,87142224,8
87142000,87142240,15
87142000,87175000,38
87142091,87142000,20
87142091,87142125,7
87142125,87141291,52
87142125,87142091,7
87142125,87144287,45
87142125,87185009,35
87142125,87713859,26
87142224,87142000,9
87142224,87142232,6
87142232,87142224,6
87142232,87142240,3
87142240,87142000,16
87142240,87142232,4
87142240,87142273,6
87142240,87143024,13
87142240,87175091,11
87142273,87142240,6
87142273,87175091,7
87144006,87141002,70
87144006,87144014,60
87144006,87144097,5
87144006,87144121,17
87144006,87144154,37
87144006,87144212,40
87144006,87144410,10
87144006,87144451,35
87144014,87141150,41
87144014,87144006,65
87144014,87144154,42
87144014,87144345,10
87144014,87144642,7
87144014,87144683,6
87144014,87214783,19
87144030,87144410,10
87144055,87141218,7
87144055,87144006,34
87144055,87144063,5
87144055,87144071,7
87144055,87144212,30
87144063,87144055,4
87144063,87144071,5
87144071,87144055,7
87144071,87144063,4
87144071,87144089,4
87144071,87144097,5
87144089,87144071,4
87144089,87144097,3
87144097,87144006,6
